city_name,density_city_2007,trade_ratio_city_2007,trade_ratio_city_2010,N_2017,Unemploy_2017,N_2007,Unemploy_2007,density_city_2010,trade_ratio_city_2014,density_city_2014,trade_ratio_city_2017,density_city_2017,chr_dummy,year_chr,trade_accessible_dummy,category
Deyang,644.60999,0.522624434,0.51924652,392,2.1551,383.8,1.1302,657.08002,0.59915966,663.34998,0.51477468,663.17035,1,2014,0,4
Dezhou,538.66998,0.465775839,0.45604688,593,1.846,557.85,2.0048,549.45001,0.4645614,558.90997,0.46059415,572.50433,1,2011,0,4
Dingxi,144.13,0.24037461,0.20914397,303,0.6728,293.01,0.5287,147.28,0.36419752,147.62,0.28757483,154.52089,0,,0,4
Dongguan,682.79999,0.4125,0.41534391,201,1.3822,168.31,0.8088,725.07001,0.83336055,768.01001,0.8207683,817.07318,0,,1,2
Dongying,229.48,0.640149339,0.58752304,193,1.2405,181.82,0.9458,232.98,0.66065574,226.85001,0.61048818,234.13806,0,,0,4
Ezhou,707.71002,0.6328125,0.63381124,111,0.3519,106.44,2.82,713.03003,0.64950979,687.90997,0.66625029,696.36133,0,,0,4
Fangchenggang,133,0.387658228,0.40797186,97,0.2868,82.21,0.3083,139.7,0.44363636,149.13,0.42764199,155.49855,0,,0,4
Foshan,932.81,0.534056317,0.54037493,400,2.2926,358.06,2.4706,955.38,0.75694603,1004.77,0.73667502,1053.1859,1,2014,1,3
Fushun,198.63,0.612641243,0.59531897,215,2.7584,223.9,5.1156,197.49001,0.58353657,193.36,0.52522337,190.73811,0,,0,4
Fuxin,186.35001,0.497937537,0.48806056,189,2.1614,192.97,2.2189,185.67999,0.55110133,184.53999,0.36209419,182.52052,0,,0,4
Fuyang,1046.38,0.303329674,0.30793875,1062,0.7742,954.61,1.1286,1023.53,0.31160408,1077.37,0.30336219,1049.6145,0,,0,4
Fuzhou_Fujian,520.33002,0.582865007,0.51742655,687,3.3644,622.73,3.5955,488.23001,0.58515406,501.67999,0.58458787,542.01184,1,2013,0,3
Fuzhou_Jiangxi,203.8,0.388560158,0.41085634,401,1.9277,383.78,1.9038,212.08,0.55027324,223.19,0.54035515,213.30922,1,2014,0,4
Ganchan,732.97998,0.473719677,0.41020966,1055,26.118,884.12,3.9305,781.59998,0.50186568,823.89001,0.46899068,874.43018,1,2012,0,4
Ganzhou,218.67999,0.411397346,0.41018766,971,2.7748,861.15,2.7029,227.78,0.46003684,235.78999,0.40851411,246.67836,0,,0,4
Guangan,721.21997,0.254426841,0.25866666,467,1.01,457.54,1.6118,740.89001,0.26615384,741.84003,0.27615088,736.70929,0,,0,4
Guangyuan,187.57001,0.344899375,0.24730501,305,1.4706,306,1.3506,191.69,0.2654762,190.19,0.28871945,186.89871,0,,0,4
Guangzhou,1023.24,0.443232284,0.4398469,870,23.6347,760.72,5.8487,1068.9,0.39818239,1119.6,0.33109117,1170.2986,1,2009,1,1
Guigang,451.53,0.285020804,0.26329789,555,0.5163,478.89,0.7906,480.57001,0.2868132,507.60001,0.2620331,523.48615,1,2014,0,4
Guilin,179.53999,0.354756602,0.32258064,534,2.6225,499.29,2.2495,183.98,0.39929578,187.35001,0.40114528,193.00972,1,2014,0,4
Guiyang,441.26999,0.496036988,0.46674445,401,3.5103,354.52,3.1239,456.91,0.54012281,471.32999,0.51002884,498.57019,1,2014,0,3
Guyuan,134,0.179054054,0.14529915,150,0.3255,151.23,0.3829,142.42999,0.14590164,118.18,0.14095867,114.96896,0,,0,4
Haikou,766.56,0.447884768,0.30868167,167,0.8922,176.68,2.339,686.51001,0.23806584,708.15997,0.28506413,724.82642,1,2015,0,3
Hangzhou,401.48999,0.496984225,0.55289686,736,3.7174,666.31,6.3042,411.76999,0.54338288,425.76999,0.50582814,443.48035,1,2010,1,2
Hanzhong,138.96001,0.39250745,0.37739784,384,1.4545,378.17,1.9875,140.03999,0.40466666,141.56,0.35262695,140.93813,0,,0,3
Harbin,184.74001,0.524161074,0.4809081,962,8.9602,980.4,8.1,186.85001,0.40582243,187.53,0.34488419,181.1676,1,2012,0,3
Hebi,692.21002,0.61259542,0.64757454,170,0.4329,151.04,0.4693,732.31,0.69285715,760.45001,0.67453337,779.10175,1,2012,0,4
Hechi,116.14,0.331772967,0.33239436,429,1.1812,389.16,1.3129,122.22,0.30304569,123.59,0.2522808,128.1515,0,,0,4
Hefei,668.45001,0.425746924,0.43711144,730,27.51,469.85,4.7156,697.35999,0.61432528,621.66998,0.58166432,637.83313,0,,0,3
Hegang,74.620003,0.737559897,0.73245281,104,1.6678,109.31,1.974,74.690002,0.66000003,73.559998,0.63503891,70.84951,0,,0,4
Heihe,25.24,0.60387915,0.65300548,163,0.9671,173.49,9.722,21.200001,0.63291138,25.139999,0.3597213,23.505661,0,,0,4
Hengshui,479.39999,0.285914179,0.26547843,455,2.3078,422.59,0.8111,494.92001,0.36148649,507.07999,0.34044597,516.16565,0,,0,4
Hengyang,474.53,0.439007581,0.46576163,799,4.2139,726.5,3.574,483.56,0.48806229,513.57001,0.44929177,522.11987,1,2009,0,4
Heyuan,215.63,0.502588235,0.55000001,373,0.9251,341.26,1.4789,223.10001,0.50078738,230.58,0.49021631,238.27776,0,,0,4
Heze,742.33002,0.261614402,0.25742856,1015,1.7154,905.2,1.7931,767.58002,0.35708582,782.29999,0.36100855,828.16577,0,,0,4
Hezhou,180.94,0.26918239,0.23588456,243,0.686,214.5,0.7464,188.87,0.244,198.72,0.18808384,206.75572,1,2014,0,4
Hohhot,125.3,0.324774925,0.28869894,241,4.0686,215.81,2.4571,132.00999,0.27879518,136.13,0.28595039,138.08514,0,,0,4
Huaian,528.95001,0.469519704,0.51119894,568,2.0276,532.76,2.507,530.34003,0.63301736,549.01001,0.65934837,566.30109,0,,0,4
Huaibei,774.16998,0.631751996,0.71099377,217,2.0986,212.2,1.6232,794.38,0.72132868,782.56,0.6348483,791.68188,0,,0,4
Huaifang,534.39001,0.565005028,0.5491004,901,3.908,855.29,3.8,537.59998,0.52135921,546.90997,0.51433796,558.13666,0,,0,4
Huaihua,181,0.297925311,0.2514216,523,3.4169,500,2.96,184.22,0.2829861,186.78,0.23873955,188.41415,1,2016,0,4
Huainan,920.31,0.663176895,0.63612568,389,2.7274,237.9,2.0365,938.17999,0.63163841,941.52002,0.53080958,703.18152,0,,0,4
Huanggang,417.82999,0.345532174,0.42222828,747,1.0254,728.94,2.4441,423.94,0.50292134,429.70999,0.61773026,427.90857,0,,0,4
Huangshan,150.46001,0.255196305,0.271855,148,0.5777,147.56,0.6771,151.52,0.31709403,150.32001,0.31123665,152.92416,0,,0,4
Huangshi,555.01001,0.672374053,0.63845921,270,1.9621,254.36,3.4852,564.16998,0.64431137,572.27002,0.59867537,589.13373,0,,0,4
Huizhou,274.60999,0.750928816,0.75457829,364,2.1468,306.41,1.4835,290.70001,0.69488966,302.72,0.70320016,320.8179,1,2013,1,3
Huludao,264.69,0.54798629,0.53327298,280,2.7524,275.67,2.7482,271.01999,0.56139708,268.78,0.4373121,268.86884,0,,0,4
