city_name,density_city_2007,trade_ratio_city_2007,trade_ratio_city_2010,N_2017,Unemploy_2017,N_2007,Unemploy_2007,density_city_2010,trade_ratio_city_2014,density_city_2014,trade_ratio_city_2017,density_city_2017,chr_dummy,year_chr,trade_accessible_dummy,category
Sanya,273.73001,0.274418605,0.13735344,58,0.3413,52.42,0.1145,290.91,0.14414415,300.63,0.12970054,301.92609,1,2015,0,4
Shanghai,2157.6799,0.412787201,0.41176927,1450,24.26,1368.08,27.82,2209.3101,0.41284329,2259.21,0.35184434,2286.7056,1,2010,1,1
Shangluo,125.82,0.263765542,0.28685898,253,0.7346,242.74,0.4111,125.98,0.42433864,129.92,0.42368153,131.14244,0,,0,4
Shangqiu,818.10999,0.284559207,0.29706571,977,2.8334,875.71,2.4736,850.96002,0.46072072,880.60999,0.47274601,767.77997,1,2015,0,4
Shangrao,302.98001,0.405042567,0.39092189,782,2.8322,690.52,3.3086,319.54001,0.48041958,333.32001,0.46149164,343.11789,1,2014,0,4
Shantou,2399.95,0.391163093,0.40139064,559,1.7816,495.35,1.7771,2474.47,0.6064865,2616.23,0.57862467,2542.0645,1,2013,0,4
Shanwei,613.21997,0.388423458,0.43614793,362,1.2856,323.23,0.9963,646.20001,0.62891567,724.65002,0.60685122,744.09045,1,2013,0,4
Shaoguan,174.23,0.496506068,0.51984125,334,4.7319,320.32,1.9066,176.32001,0.5605042,178.14999,0.51104403,181.39359,1,2009,0,4
Shaotong,239.22,0.260590501,0.25724021,609,1.2245,536.56,1.6498,247.62,0.30336136,261.38,0.23570706,275.06775,0,,0,4
Shaoxing,527.5,0.715416271,0.76957989,445,3.8463,435.5,2.7141,530.21002,0.82354242,533.46997,0.81133872,537.50452,1,2013,0,3
Shaoyang,358.32001,0.399743754,0.37093341,830,2.5457,746.39,3.26,366.85001,0.39247313,388.04999,0.38773385,398.46375,1,2015,0,4
Shenyang,542.03003,0.39055794,0.39916366,734,10.2166,703.56,11.7735,552.03998,0.46629581,560.17999,0.42607588,570.76202,1,2012,0,2
Shenzhen,1007.83,0.555931475,0.54099101,385,4.2583,196.83,2.8259,1234.74,0.65076518,1554.6801,0.58983129,1927.8918,1,2013,1,1
Shijiazhuang,592.82001,0.409023074,0.37592813,1038,0,939.5,2.2653,616.73999,0.36749193,632.97998,0.33847788,795.03674,1,2012,0,3
Shiyan,146.33,0.514726508,0.50410753,348,3.2055,346.5,2.4201,149.16,0.5315271,146.41,0.48922664,146.95946,0,,0,4
Shizuishan,137.5,0.574390244,0.55650061,75,3.0633,73.01,0.7231,140.34,0.47979799,144.17999,0.46442613,141.24294,0,,0,4
Shuangyashan,66.690002,0.713787639,0.70271921,145,1.088,149.95,0.8124,64.980003,0.52469134,64.540001,0.41465518,63.930161,0,,0,4
Shuozhou,140.12,0.496937213,0.44322133,163,0.5794,148.85,0.1507,142.21001,0.49414635,163.41,0.43799287,153.41176,1,2014,0,4
Simao,53.049999,0.415409055,0.43526942,251,1.0594,240.78,0.9502,55,0.42890173,56.939999,0.38802481,55.304615,0,,0,4
Siping,235.28999,0.347974622,0.3875598,324,1.0499,331.29,4.4026,240.85001,0.33027524,233.24001,0.30171689,225.2816,1,2012,0,4
Songyuan,131.92,0.536813922,0.56572378,278,1.3033,278.21,1.3859,136.71001,0.55109489,134.17,0.53658831,131.82228,1,2012,0,4
Suihua,162.71001,0.332124143,0.30607286,543,1.9148,568.9,1.8682,166.45,0.37414965,159.5,0.31918782,155.70786,0,,0,4
Suining,708.71002,0.545604396,0.57575756,378,4.2895,377.39,1.5825,726.84998,0.53024387,712.45001,0.59991437,710.25928,0,,0,4
Suizhou,261.14001,0.43365984,0.42870456,252,0.4691,251.63,0.5387,267.51001,0.47933334,267.32001,0.48164445,261.51932,0,,0,4
Suqian,618.90002,0.334417344,0.39473686,592,1.0732,529.47,1.3786,631.90997,0.70772058,671.17999,0.6431824,694.50964,0,,0,4
Suzhou_Anhui,623.21002,0.411237785,0.40747252,678,3.9619,609.94,1.3115,649.01001,0.46437499,655.90002,0.36129034,658.01385,0,,0,4
Suzhou_Jiangsu,725.82001,0.72162328,0.71172076,654,0.4228,616.08,5.4793,746.09998,0.74226314,770.31,0.74217987,783.18121,1,2010,1,2
Taian,710.77002,0.629074711,0.60712922,569,2.4836,551.7,2.6844,716.09003,0.64403081,719.91998,0.58695811,733.05847,1,2011,0,4
Taiyuan,499.17001,0.512962012,0.49147266,370,4.921,348.82,4.2925,524.37,0.53877974,526.65997,0.46121541,529.47913,1,2014,0,3
Taizhou_Jiangsu,868.72998,0.469007634,0.4856419,508,1.598,564.66,2.1631,869.38,0.75601268,877.47998,0.77340907,877.82959,0,,0,4
Taizhou_Zhejiang,600,0.493351994,0.60694271,600,2.2315,503.6,2.1235,614.66998,0.69608992,631.21997,0.67074496,637.55182,1,2013,0,3
Tangshan,533.78998,0.558674827,0.56299645,760,6.7327,719.12,5.3498,544.76001,0.54136503,537.57001,0.48045397,564.133,0,,0,4
Tianjing,796.25,0.508205128,0.48063475,1044,25.77,948.89,11.67,833.20001,0.54894179,842.46997,0.47962609,876.05939,1,2011,1,2
Tianshui,245.38,0.358234295,0.34958905,371,1.4149,352.34,1.21,250.5,0.33086956,264.75,0.3277052,259.85852,1,2015,0,4
Tieling,234.62,0.506666667,0.48246014,300,2.0873,304.54,2.0183,235.78999,0.54964536,232.49001,0.45379168,231.03581,1,2012,0,4
Tongchuan,293.37,0.591397849,0.51251251,84,0.7932,84.55,1.32,219.75999,0.51083332,217.32001,0.45691201,216.3833,0,,0,4
Tonghua,149.31,0.484906564,0.44924623,220,0.64,226.88,1.0094,149.27,0.58489931,142.42999,0.56051582,140.91724,0,,0,4
Tongliao,52.490002,0.465832961,0.9009009,319,1.8149,312.51,1.4547,53.560001,0.50069445,53.950001,0.46897402,53.767971,0,,0,4
Tongling,656.87,0.646319569,0.67009425,171,0.9935,73.11,1.064,664.78003,0.66858977,618.07001,0.5747267,571.71515,0,,0,4
Ulanqab,51.049999,0.231369766,0.23221758,274,0,278.16,1.338,53.169998,0.24550898,51.98,0.19321576,50.27523,0,,0,4
Urumqi,185.17,0.38972067,0.38415417,268,3.4835,201.84,2.0763,174.92999,0.35979828,190.69,0.34238192,194.37192,1,2014,0,3
Weihai,438.45001,0.654913145,0.64240104,256,0.8333,249.83,0.7293,436.38,0.65982145,438.56,0.65827197,441.53156,1,2014,0,4
Weinan,412.34,0.429076968,0.42486903,557,1.6552,541.57,1.1411,423.98001,0.43290871,433.84,0.40886703,424.09015,1,2010,0,4
Wenzhou,641.96002,0.672139775,0.68626904,818,3.1441,756.48,3.1545,660.92999,0.59747571,685.03003,0.56703991,676.98419,1,2013,0,3
Wuhai,247.14999,0.672815534,0.63367254,44,0.8412,43.35,0.7,274,0.61923075,315.34,0.58936357,263.63092,0,,0,4
Wuhan,964.02002,0.46533238,0.50927508,834,11.06,818.84,11.17,983.69,0.51717883,967.79999,0.4954288,973.27576,1,2009,0,2
Wuhu,690.46997,0.579545455,0.56332237,388,1.6937,229.03,2.0358,693.70001,0.57393366,642.17999,0.55336297,643.87653,0,,0,4
Wuwei,56.330002,0.266944734,0.33401221,191,0.5716,187.23,0.59,59.849998,0.45070422,56.720001,0.40067032,57.464348,0,,0,4
Wuxi,956.14001,0.545253111,0.58173698,486,3.9757,457.8,4.2138,972.53998,0.67759562,1020.6,0.6419605,1050.3566,1,2010,1,3
Wuzhong,62.599998,0.403422983,0.36732027,142,0.3382,127.66,0.6128,67.279999,0.42788461,85.769997,0.37658852,84.735649,0,,0,4
Wuzhou,244.85001,0.368490442,0.37192282,347,1.2591,308.22,1.2393,251.84,0.42587066,267.09,0.41006169,275.65936,1,2014,0,4
Xiamen,1022.18,0.720500904,0.69323701,825,11.2924,753.11,8.7393,1125.24,0.6917882,1250.99,0.63328654,1300.7651,1,2013,1,3
Xi'an,745.06,0.455955236,0.426128,221,2.71,160.38,2.3,773.32001,0.42162299,799.17999,0.3800689,816.34674,1,2010,0,2
Xiangfan,293.45001,0.453595724,0.46209386,594,3.2461,578.8,3.9924,298.56,0.58457011,301.64999,0.5341652,301.09488,0,,0,4
Xiangtan,581.53998,0.610856269,0.55064738,290,2.2902,291.64,2.0732,588.75,0.63531071,578.78998,0.43066537,579.07349,0,,0,4
Xianning,285.73001,0.492031873,0.3899405,304,0.8275,281.76,3.1568,294.73001,0.42118645,299.70001,0.3919003,308.28516,1,2009,0,4
Xianyang,490.07999,0.454222465,0.41935483,530,2.1853,499.69,2.1058,506.45001,2.21875,523.31,0.51414287,520.16882,1,2013,0,4
Xiaogan,577.60999,0.582653818,0.6122449,523,2.5765,514.65,2.6481,593.40997,0.60803014,591.95001,0.56803852,586.9809,1,2012,0,4
Xingtai,547.25,0.349042262,0.36220929,788,2.0102,683.3,2.281,575.54999,0.44113785,613.58002,0.4048014,633.79718,1,2012,0,4
Xining,277.53,0.394689469,0.39810425,203,1.7,212.73,2.187,253.02,0.43649024,296.45999,0.40646625,265.01306,1,2014,0,4
Xinxiang,705.79999,0.444444444,0.47100329,646,4.1998,576.57,2.0942,731.12,0.64569443,730.82001,0.61561048,745.44196,1,2012,0,4
Xinyang,418.29001,0.329735034,0.33365133,908,0.7049,817.38,1.7623,440.60999,0.43920922,542.78998,0.44210294,483.31293,1,2012,0,4
Xinyu,353.38,0.682716049,0.57959181,124,1.3618,112.41,1.5994,391.73001,0.62657344,382.22,0.65151483,390.1825,1,2014,0,4
Xinzhou,119.37,0.298494624,0.28294402,308,1.1252,299.83,0.8,122.19,0.31901142,124,0.28053722,122.45547,1,2014,0,4
Xuchang,935.83002,0.422752294,0.46987951,510,3.1018,467.54,0.2336,971.20001,0.60271496,998.85999,0.5954538,1020.6124,1,2012,0,4
Xuzhou,830.28003,0.438643166,0.42135289,1041,3.0953,934.73,3.2581,850.59998,0.62531877,894.26001,0.57575238,884.82788,1,2015,0,3
Ya'an,100.37,0.330726257,0.31657755,155,0.5114,152.61,0.5257,101.39,0.3233645,104.33,0.31841105,103.01741,0,,0,4
Yan'an,58.07,0.372964973,0.3778781,237,0.9754,215.08,0.9957,61.43,0.46698114,64.199997,0.43288323,63.990063,0,,0,4
Yancheng,474.14999,0.502559902,0.50830114,831,1.816,804.73,2.9182,478.64999,0.65191871,485.37,0.63318539,490.81567,0,,0,4
Yangjiang,342.64999,0.427586207,0.38119659,296,1.2832,267.73,4.3189,346.91,0.52938777,358.38,0.48961312,372.04626,0,,0,4
Yangquan,278.35999,0.65680212,0.6345399,133,0.889,127.21,0.7522,285.04999,0.66993004,290.45999,0.6263808,291.02844,0,,0,4
Yangzhou,691.34998,0.526553672,0.56532991,462,2.4413,458.64,2.4632,691.59003,0.74935704,697.67999,0.74576813,700.95587,0,,0,4
Yantai,472.85001,0.623937677,0.60678083,655,5.7302,649.98,4.0741,474.32001,0.57636702,470.09,0.55346769,472.8559,1,2014,1,3
Yibin,393.85999,0.53627451,0.55086994,556,3.1199,523.16,1.9795,403.07999,0.53435755,414.76999,0.49209076,418.95862,0,,0,4
Yichang,190.14999,0.566498922,0.56594914,394,2.3896,400.23,2.843,190.69,0.56988233,189.75999,0.55716074,185.58644,1,2014,0,4
Yicheng,222.52,0.389926889,0.33629033,280,1.2418,274.21,0.9657,225.41,0.22699822,225.00999,0.38784406,227.40193,0,,0,4
Yichun_Heilongjiang,38.990002,0.810668999,0.76627052,118,2.2058,127.74,2.1987,38.860001,0.71917099,37.610001,0.67286152,35.975609,0,,0,4
Yichun_Jiangxi,286.19,0.411124076,0.39331621,602,2.4973,534.66,2.1432,294.56,0.53356975,309.64999,0.52241558,322.45969,1,2014,0,4
Yinchuan,157.78,0.549644188,0.51820636,184,3.0324,144.68,1.7107,162.78999,0.44485715,191.28,0.41099927,203.87811,0,,0,4
Yingkou,427.76999,0.378687538,0.39082366,233,1.8117,231.08,2.5363,435.10001,0.50309277,443.54999,0.35852161,444.48685,1,2012,0,4
Yingtan,317.81,0.549499444,0.50473934,128,0.9451,112.95,0.9253,337.14001,0.56791043,350.17001,0.64199996,359.55057,1,2014,0,4
Yiyang,381.26001,0.356195702,0.31572109,484,1.4734,463,2.3287,387.48001,0.4292517,389.64001,0.41680467,392.85715,0,,0,4
Yongzhou,257.34,0.316666667,0.31288135,645,2.7793,577.5,2.6539,261.42001,0.35669783,279.70001,0.34242788,289.75742,0,,0,4
Yueyang,357.06,0.480263158,0.53768301,571,3.4101,538.7,3.6873,370.31,0.4551985,376.89001,0.43893272,384.30475,0,,0,4
Yulin_Guangxi,474.60999,0.320534224,0.34829658,717,1.4944,353.24,1.3257,508.97,0.44162011,546.53998,0.42237473,558.62872,0,,0,4
Yulin_Shaanxi,81.059998,0.265547878,0.30942452,382,0.96,609.31,1.5715,82.410004,0.43552312,86.510002,0.42586416,88.996574,0,,0,4
Yuncheng,353.19,0.419314642,0.38681591,531,0,493.2,0.3197,355.14001,0.32195121,368.37,0.32971987,374.39188,1,2014,0,4
Yunfu,343,0.508528111,0.47312462,301,0.5799,266.82,0.8015,354.54001,0.50188679,372.95001,0.48755398,386.54169,1,2014,0,4
Yuxi,137.8,0.32127031,0.44297519,217,1.0237,210.62,0.4257,140.24001,0.51007193,140.48,0.50055212,142.45389,1,2016,0,4
Zaozhuang,815.19,0.566506637,0.53294462,413,1.9209,371.97,1.8384,847.66998,0.62128907,867.76001,0.5845384,904.90796,1,2011,0,4
Zhangjiajie,169.66,0.243767313,0.21196359,171,0.5714,161.45,0.2484,173.67999,0.27078652,179.60001,0.22590804,179.35809,0,,0,4
Zhangjiakou,123.02,0.406267645,0.37100279,470,3.9522,453.61,4.8611,125.38,0.33692306,126.61,0.27722779,127.72781,0,,0,4
Zhangye,30.33,0.370774264,0.38274112,131,3.0082,127.15,0.5027,31.1,0.41470587,31.33,0.37357605,31.247019,1,2014,0,4
Zhangzhou,364.17001,0.624631861,0.62700468,508,1.28,459.14,1.3889,366.48001,0.62272727,389.88,0.61652267,404.65192,1,2013,0,4
Zhanjiang,590.59003,0.393854749,0.3817952,835,2.1185,736.52,2.6158,611.92999,0.42087474,606.46002,0.40779105,629.57098,0,,0,4
Zhaoqing,272.38,0.456653992,0.45054126,444,1.244,404.65,1.0641,273.35001,0.54103196,288.64001,0.53465652,298.16669,1,2014,0,4
Zhengjiang,698.70001,0.520635891,0.5628072,272,1.4157,268.79,1.5823,701.53003,0.60000002,706.39001,0.60279965,708.33331,1,2010,0,4
Zhengzhou,928.84998,0.468461861,0.46700653,827,5.1032,691.62,5.6273,982.37,0.58645833,1234.35,0.52932656,1110.6635,1,2010,0,2
Zhongshan,790.33002,0.645734597,0.61483699,161,1.0672,142.26,0.7274,821.44,0.78997797,863.72998,0.75674087,902.46637,0,,1,3
Zhongwei,61.93,0.347560976,0.29038855,121,0.2428,104.19,0.9142,74.089996,0.34126985,69.610001,0.26061627,69.348923,0,,0,4
Zhoukou,945.22998,0.298249602,0.30126184,1259,3.4324,1130.4,2.4755,1009.08,0.48670694,945.44,0.49948478,1052.5875,0,,0,4
Zhoushan,670.69,0.352775165,0.41191381,97,0.8762,96.58,0.7353,671.96002,0.38216215,668.79999,0.40753353,666.2088,0,,1,4
Zhuhai,548.82001,0.71815562,0.71348411,115,1.1188,92.63,1.1435,603.46997,0.66662198,654.83002,0.60979497,663.97229,0,,1,3
Zhumadian,563.81,0.301591814,0.34606451,949,0.6339,850.4,1.5579,578.88,0.50339806,594.04999,0.49974364,629.01837,1,2012,0,4
Zhuzhou,334.66,0.562251656,0.5460546,404,2.2549,376.9,2.4554,339.48001,0.56901097,354.79999,0.56189954,357.30078,1,2009,0,4
Zibo,700.95001,0.683537653,0.65944529,432,3.1721,418.13,2.4824,706.46997,0.69669861,712.96002,0.65632427,724.22467,0,,0,4
Zigong,731.65002,0.503099174,0.50100505,327,2.4371,319.95,1.8582,751.17999,0.51141554,752.64001,0.45634487,746.40491,0,,0,4
Ziyang,614.66998,0.371082621,0.39716312,355,1.3954,489.4,1.2546,629.67999,0.56227106,637.31,0.43928254,617.60614,0,,0,4
Zunyi,238.05,0.367207792,0.29762688,802,2.215,732.3,2.152,244.09,0.35857844,253.06,0.31628406,260.71127,0,,0,4
